Property_ID,Deal_ID,Address,City,State,Asset_Type,Allocated_Loan_Amount,Appraised_Value,Property_NOI,Cap_Rate
HRE-1058-P1,HRE-1058,176 Saunders Cove,Patriciamouth,IL,Medical Office,8600000,13900000,810885,0.0583
HRE-1059-P1,HRE-1059,781 Simmons Forges,New Garyburgh,GA,Skilled Nursing,24000000,35350000,2192661,0.062
HRE-1059-P2,HRE-1059,302 Jennifer Views,West Jeffton,NE,Skilled Nursing,47000000,69100000,4178024,0.0605
HRE-1059-P3,HRE-1059,422 Walsh Drives,West Brendachester,NH,Skilled Nursing,8400000,12350000,702436,0.0569
HRE-1060-P1,HRE-1060,753 Steven Harbors,Nathanielburgh,ID,Life Science,9000000,14000000,882684,0.063
HRE-1061-P1,HRE-1061,859 Mary Manor,Seanside,LA,Medical Office,6700000,10600000,603264,0.0569
HRE-1062-P1,HRE-1062,394 Dixon Run,Port Edward,KY,Senior Housing,9100000,12800000,773138,0.0604
HRE-1063-P1,HRE-1063,761 Mary Springs,Jamesville,CA,Senior Housing,12100000,18300000,1047784,0.0573
HRE-1064-P1,HRE-1064,206 Bell Well,Nathanielborough,MD,Medical Office,4350000,6450000,371920,0.0577
HRE-1064-P2,HRE-1064,394 Morgan Cove,Candicefurt,MP,Medical Office,3700000,5500000,350591,0.0637
HRE-1064-P3,HRE-1064,816 Susan Glens,West Lisa,KY,Medical Office,5900000,8800000,547263,0.0622
HRE-1064-P4,HRE-1064,195 Victor Forest,Sanchezport,IN,Medical Office,9650000,14350000,902562,0.0629
HRE-1064-P5,HRE-1064,789 Scott Neck,Lake Richardshire,NV,Medical Office,1500000,2200000,135232,0.0615
HRE-1064-P6,HRE-1064,454 Diane Freeway,Rodriguezmouth,AR,Medical Office,2750000,4150000,243369,0.0586
HRE-1064-P7,HRE-1064,923 Lindsey Plaza,Rileyberg,MO,Medical Office,300000,450000,27533,0.0612
HRE-1064-P8,HRE-1064,243 Mcdaniel Summit,New Shannon,KY,Medical Office,2800000,4150000,240446,0.0579
HRE-1065-P1,HRE-1065,159 Munoz Hill,Lake Theresaside,MS,Life Science,9600000,14600000,929773,0.0637
HRE-1066-P1,HRE-1066,748 Herring Summit,New Bruceshire,CO,Medical Office,13100000,18700000,1033894,0.0553
HRE-1067-P1,HRE-1067,282 Robinson Via,Joshuabury,FL,Skilled Nursing,11900000,18300000,1180794,0.0645
HRE-1068-P1,HRE-1068,416 Rachel Stravenue,Whitefort,FM,Medical Office,5700000,9000000,508970,0.0566
HRE-1069-P1,HRE-1069,448 Michael Plains,Briannamouth,TX,Senior Housing,31300000,44100000,2851724,0.0647
HRE-1070-P1,HRE-1070,788 Jones Street,Jonesborough,ME,Senior Housing,9700000,14700000,886458,0.0603
HRE-1070-P2,HRE-1070,437 King Knolls,East April,WV,Senior Housing,9350000,14150000,794004,0.0561
HRE-1070-P3,HRE-1070,919 Serrano Summit,Jamesshire,NM,Senior Housing,14050000,21300000,1172001,0.055
HRE-1070-P4,HRE-1070,762 Cheryl Island,New Jefferyside,SD,Senior Housing,6650000,10050000,575743,0.0573
HRE-1070-P5,HRE-1070,899 Howell Hollow,Dixonchester,AS,Senior Housing,4050000,6100000,369422,0.0606
HRE-1070-P6,HRE-1070,898 Sonya Estate,Hannahchester,MP,Senior Housing,3750000,5700000,344285,0.0604
HRE-1071-P1,HRE-1071,418 Thompson Knolls,Brownborough,OH,Medical Office,8600000,12400000,788705,0.0636
HRE-1072-P1,HRE-1072,927 Lisa Hill,Gilbertside,ME,Senior Housing,13100000,20500000,1129899,0.0551
HRE-1073-P1,HRE-1073,407 Garcia Trafficway,Parkerberg,VI,Senior Housing,7900000,11500000,733244,0.0638
HRE-1074-P1,HRE-1074,101 Tommy River,West Michaelhaven,RI,Life Science,11350000,17200000,995699,0.0579
HRE-1074-P2,HRE-1074,773 Bowman Glens,South Richardhaven,HI,Life Science,450000,700000,45299,0.0647
HRE-1074-P3,HRE-1074,986 Jennifer Hills,South Davidmouth,PR,Life Science,1150000,1750000,98605,0.0563
HRE-1074-P4,HRE-1074,417 Robin Plains,Port Stephen,MH,Life Science,50000,50000,2960,0.0592
HRE-1074-P5,HRE-1074,772 Bradley Rue,West Jacobmouth,WI,Life Science,19650000,29750000,1703354,0.0573
HRE-1074-P6,HRE-1074,703 Christopher Point,Sandersport,MI,Life Science,200000,300000,18748,0.0625
HRE-1075-P1,HRE-1075,436 Michael Shores,Brendantown,MT,Senior Housing,8800000,13900000,791908,0.057
HRE-1076-P1,HRE-1076,959 Howell Loaf,Edwardville,HI,Senior Housing,6900000,10200000,639841,0.0627
HRE-1077-P1,HRE-1077,636 Brian Port,Tamimouth,AZ,Senior Housing,750000,1100000,70858,0.0644
HRE-1077-P2,HRE-1077,757 Cindy Islands,East Ronald,FM,Senior Housing,8600000,12250000,696107,0.0568
HRE-1077-P3,HRE-1077,792 Chapman Creek,Lindsayborough,KS,Senior Housing,4700000,6700000,389536,0.0581
HRE-1077-P4,HRE-1077,435 Bobby Village,Martinezshire,PW,Senior Housing,1150000,1600000,88545,0.0553
HRE-1077-P5,HRE-1077,978 Andersen Turnpike,East Tammy,HI,Senior Housing,850000,1200000,77518,0.0646
HRE-1077-P6,HRE-1077,643 Marshall Inlet,North Andrewview,DE,Senior Housing,1300000,1800000,107011,0.0595
HRE-1078-P1,HRE-1078,475 Jacob Mills,Jefferyshire,SD,Skilled Nursing,7300000,10700000,612794,0.0573
HRE-1079-P1,HRE-1079,771 Sarah Circles,South Sharon,DE,Skilled Nursing,19300000,29300000,1897423,0.0648
HRE-1080-P1,HRE-1080,380 Watson Village,Castillotown,ID,Senior Housing,2500000,3800000,234678,0.0618
HRE-1080-P2,HRE-1080,129 Lisa Loaf,Walkerborough,NM,Senior Housing,4800000,7300000,444648,0.0609
HRE-1080-P3,HRE-1080,879 Burns Flats,New Reginald,DE,Senior Housing,3100000,4750000,261999,0.0552
HRE-1080-P4,HRE-1080,148 Richard Stravenue,Melissastad,CA,Senior Housing,7400000,11250000,717385,0.0638
HRE-1080-P5,HRE-1080,595 Rebecca Stream,Bradleyshire,DE,Senior Housing,2550000,3800000,210475,0.0554
HRE-1081-P1,HRE-1081,229 Curtis Cape,North Lindseyborough,DE,Skilled Nursing,7400000,11400000,638090,0.056
HRE-1082-P1,HRE-1082,293 Mikayla Village,South Alexander,NM,Senior Housing,13500000,20200000,1112845,0.0551
HRE-1082-P2,HRE-1082,209 Katherine Knolls,Lake Daryl,IA,Senior Housing,400000,550000,31503,0.0573
HRE-1082-P3,HRE-1082,441 Carlson Walks,New Brycefort,TN,Senior Housing,6350000,9450000,521798,0.0552
HRE-1082-P4,HRE-1082,438 Jesus Square,West Josephview,ID,Senior Housing,3750000,5550000,343945,0.062
HRE-1082-P5,HRE-1082,431 Hernandez Road,North Abigail,ND,Senior Housing,2850000,4250000,257389,0.0606
HRE-1082-P6,HRE-1082,838 Hailey Wells,Youngshire,ND,Senior Housing,1850000,2750000,178037,0.0647
HRE-1082-P7,HRE-1082,949 Dale Highway,Christinefort,VT,Senior Housing,2850000,4300000,242935,0.0565
HRE-1082-P8,HRE-1082,372 Carroll Shore,Lindamouth,WV,Senior Housing,1100000,1600000,103368,0.0646
HRE-1083-P1,HRE-1083,226 Brittany Shores,East Lisaside,TX,Medical Office,13250000,19450000,1246619,0.0641
HRE-1083-P2,HRE-1083,871 Malone Ports,West Jessica,WY,Medical Office,4450000,6500000,400364,0.0616
HRE-1083-P3,HRE-1083,703 Julia Bridge,Smithburgh,NE,Medical Office,7150000,10500000,583132,0.0555
HRE-1084-P1,HRE-1084,487 Kenneth Summit,North Benjamin,MA,Medical Office,6800000,10600000,624387,0.0589
HRE-1085-P1,HRE-1085,104 Dodson Manors,North Ralphview,TX,Life Science,9600000,14500000,940935,0.0649
HRE-1086-P1,HRE-1086,973 Katrina Mountains,North Carmenville,DC,Skilled Nursing,3700000,5350000,324433,0.0606
HRE-1086-P2,HRE-1086,610 Blair Grove,South Andrea,OH,Skilled Nursing,8900000,12900000,749185,0.0581
HRE-1086-P3,HRE-1086,805 Lisa Well,Walkertown,AR,Skilled Nursing,1700000,2450000,139280,0.0568
HRE-1086-P4,HRE-1086,505 Matthew Ridges,Snyderfurt,NC,Skilled Nursing,50000,50000,2823,0.0565
HRE-1086-P5,HRE-1086,357 Joel Cape,Meyersland,MI,Skilled Nursing,5300000,7650000,462943,0.0605
HRE-1086-P6,HRE-1086,842 Jackson Center,Ashleytown,MT,Skilled Nursing,9750000,14150000,913925,0.0646
HRE-1086-P7,HRE-1086,865 Lozano Greens,Port Jesseburgh,PR,Skilled Nursing,10350000,15000000,900780,0.0601
HRE-1087-P1,HRE-1087,569 John Corners,Juanborough,VI,Skilled Nursing,14800000,21100000,1238296,0.0587
HRE-1088-P1,HRE-1088,770 Alejandro Highway,East Sherry,UT,Senior Housing,11700000,16300000,1015204,0.0623
HRE-1089-P1,HRE-1089,320 Melissa Parks,South Kimberly,MN,Senior Housing,8500000,12700000,774034,0.0609
HRE-1090-P1,HRE-1090,770 Harrison Stream,Kimberlyton,AZ,Medical Office,10700000,15500000,986231,0.0636
HRE-1091-P1,HRE-1091,133 Mary Lock,Josephborough,PR,Senior Housing,10100000,16300000,1013531,0.0622
HRE-1092-P1,HRE-1092,677 Martinez Crescent,Rogersburgh,IN,Skilled Nursing,8300000,12600000,817149,0.0649
HRE-1093-P1,HRE-1093,230 Flores Ranch,Williamsview,FL,Skilled Nursing,9900000,15000000,902196,0.0601
HRE-1093-P2,HRE-1093,188 William Dale,East Anne,VI,Skilled Nursing,8400000,12750000,823605,0.0646
HRE-1093-P3,HRE-1093,778 Rodriguez Square,Cliffordfort,VA,Skilled Nursing,9450000,14350000,876616,0.0611
HRE-1093-P4,HRE-1093,626 Melanie Forest,Joshuastad,PA,Skilled Nursing,2250000,3400000,212560,0.0625
HRE-1093-P5,HRE-1093,827 Chloe Street,North Manuel,TN,Skilled Nursing,3550000,5350000,315453,0.059
HRE-1093-P6,HRE-1093,826 Lynch Turnpike,Dayfort,WI,Skilled Nursing,12000000,18250000,1056060,0.0579
HRE-1093-P7,HRE-1093,390 Conley Fords,South Robert,WA,Skilled Nursing,1600000,2400000,142027,0.0592
HRE-1093-P8,HRE-1093,661 Holmes Stravenue,Katherinemouth,NE,Skilled Nursing,3300000,4950000,285288,0.0576
HRE-1094-P1,HRE-1094,463 Wilson Gardens,Ballardburgh,VA,Medical Office,13500000,20200000,1271933,0.063
HRE-1095-P1,HRE-1095,252 Christian Crest,South Jacobmouth,PW,Life Science,15600000,22600000,1274775,0.0564
HRE-1096-P1,HRE-1096,131 Ray Rue,South Richardton,DE,Senior Housing,8800000,13400000,805315,0.0601
HRE-1097-P1,HRE-1097,735 Caldwell Village,Dustinmouth,MN,Senior Housing,12000000,17900000,1087271,0.0607
HRE-1098-P1,HRE-1098,401 John Lakes,Lake Tammyhaven,TX,Life Science,14200000,23700000,1468120,0.0619
HRE-1099-P1,HRE-1099,604 Kathryn Freeway,Gardnermouth,LA,Senior Housing,8100000,12300000,703343,0.0572
HRE-1100-P1,HRE-1100,966 Andrea Stravenue,Kimberlyview,SD,Senior Housing,13700000,19900000,1111449,0.0559
HRE-1101-P1,HRE-1101,462 Miller Springs,Williamsbury,DE,Senior Housing,1250000,1850000,104119,0.0563
HRE-1101-P2,HRE-1101,229 Stephen Bypass,Port Richard,SC,Senior Housing,1700000,2550000,154470,0.0606
HRE-1101-P3,HRE-1101,563 Allen Expressway,Ellisfort,OK,Senior Housing,300000,450000,27970,0.0622
HRE-1101-P4,HRE-1101,650 Carolyn Port,Barrettton,OH,Senior Housing,18550000,27700000,1785304,0.0645
HRE-1101-P5,HRE-1101,956 Parker Freeway,Hortonborough,WY,Senior Housing,2200000,3300000,193255,0.0586
HRE-1101-P6,HRE-1101,370 Aaron Ports,Lake Mercedesmouth,OH,Senior Housing,1550000,2300000,142932,0.0621
HRE-1102-P1,HRE-1102,724 Tina Points,Clarkside,AS,Senior Housing,13100000,19600000,1182945,0.0604
HRE-1103-P1,HRE-1103,778 Jennifer Knoll,East Jenny,NV,Life Science,15500000,22150000,1341068,0.0605
HRE-1103-P2,HRE-1103,669 Rodriguez Flat,Jonestown,NV,Life Science,3200000,4600000,286681,0.0623
HRE-1103-P3,HRE-1103,399 Joseph Port,Wendyport,TN,Life Science,1050000,1500000,95300,0.0635
HRE-1103-P4,HRE-1103,690 Flores Dam,East Deannafurt,TX,Life Science,3100000,4450000,273693,0.0615
HRE-1104-P1,HRE-1104,726 Alec Mountain,Smithport,KS,Skilled Nursing,7000000,10600000,616599,0.0582
HRE-1105-P1,HRE-1105,718 Jay Causeway,Webershire,DC,Life Science,12700000,19500000,1164812,0.0597
HRE-1106-P1,HRE-1106,893 Daniel Courts,North Bryanville,GA,Life Science,7500000,11200000,630826,0.0563
HRE-1107-P1,HRE-1107,130 Angela Cape,South Joshuachester,VA,Skilled Nursing,6600000,9500000,609758,0.0642
HRE-1108-P1,HRE-1108,772 Crystal Station,East Danafurt,NJ,Medical Office,400000,600000,33103,0.0552
HRE-1108-P2,HRE-1108,958 James Flats,South Kathleen,ND,Medical Office,250000,350000,22450,0.0641
HRE-1108-P3,HRE-1108,446 Elizabeth Trail,North Frankberg,OK,Medical Office,150000,250000,15901,0.0636
HRE-1108-P4,HRE-1108,298 Jessica Views,Johnville,NY,Medical Office,1800000,2650000,161061,0.0608
HRE-1108-P5,HRE-1108,973 Stephen Ridges,Floresview,MD,Medical Office,300000,450000,27669,0.0615
HRE-1108-P6,HRE-1108,352 Jason Pines,Andersonborough,WI,Medical Office,4450000,6450000,407084,0.0631
HRE-1108-P7,HRE-1108,908 Jesus Fords,Ethanland,MD,Medical Office,8150000,11850000,765099,0.0646
HRE-1109-P1,HRE-1109,146 Rebecca Field,West Casey,WI,Medical Office,10600000,15800000,1018658,0.0645
HRE-1110-P1,HRE-1110,793 Morrison Squares,Thomasshire,MH,Life Science,17900000,25900000,1428980,0.0552
HRE-1111-P1,HRE-1111,775 Ritter Expressway,Jasmineville,GA,Skilled Nursing,10300000,14700000,889569,0.0605
HRE-1112-P1,HRE-1112,216 Angela Brook,West Michelleside,VA,Senior Housing,5250000,8050000,452622,0.0562
